"state","forest_type","1982","1987","1992","1997","2002","2007","2012","2017"
"AL","grazed",1378000,1149000,1155000,846000,691000,586000,562000,557000
"AL","notgrazed",19488000,20022000,20100000,20475000,20831000,21063000,21194000,21276000
"AL","total",20866000,21171000,21255000,21321000,21522000,21649000,21756000,21833000
"AR","grazed",1907000,1891000,1931000,1920000,1912000,1987000,1975000,2e+06
"AR","notgrazed",12950000,12926000,12921000,12990000,12960000,12973000,13043000,13019000
"AR","total",14857000,14817000,14852000,14910000,14872000,14960000,15018000,15019000
"AZ","grazed",4181000,4164000,3999000,3931000,3476000,3273000,3233000,3232000
"AZ","notgrazed",425000,423000,465000,472000,807000,972000,997000,997000
"AZ","total",4606000,4587000,4464000,4403000,4283000,4245000,4230000,4229000
"CA","grazed",6277000,6379000,6208000,6150000,5630000,5592000,5574000,5598000
"CA","notgrazed",8500000,8434000,8404000,8285000,8624000,8526000,8494000,8476000
"CA","total",14777000,14813000,14612000,14435000,14254000,14118000,14068000,14074000
"CO","grazed",2501000,2374000,2262000,2255000,2009000,1957000,1951000,1917000
"CO","notgrazed",1386000,1474000,1448000,1421000,1588000,1622000,1609000,1629000
"CO","total",3887000,3848000,3710000,3676000,3597000,3579000,3560000,3546000
"CT","grazed",16000,15000,14000,17000,9000,9000,7000,5000
"CT","notgrazed",1741000,1701000,1674000,1654000,1620000,1605000,1596000,1592000
"CT","total",1757000,1716000,1688000,1671000,1629000,1614000,1603000,1597000
"DE","grazed",1000,3000,3000,3000,1000,3000,2000,1000
"DE","notgrazed",373000,368000,362000,357000,349000,342000,346000,350000
"DE","total",374000,371000,365000,360000,350000,345000,348000,351000
"FL","grazed",2118000,1861000,1794000,1615000,1215000,832000,770000,758000
"FL","notgrazed",11350000,11563000,11592000,11697000,12152000,12417000,12440000,12465000
"FL","total",13468000,13424000,13386000,13312000,13367000,13249000,13210000,13223000
"GA","grazed",545000,456000,419000,330000,252000,250000,266000,282000
"GA","notgrazed",21521000,21748000,21659000,21525000,21758000,21679000,21611000,21477000
"GA","total",22066000,22204000,22078000,21855000,22010000,21929000,21877000,21759000
"IA","grazed",804000,840000,914000,862000,856000,895000,920000,913000
"IA","notgrazed",1105000,1141000,1204000,1348000,1485000,1485000,1495000,1523000
"IA","total",1909000,1981000,2118000,2210000,2341000,2380000,2415000,2436000
"ID","grazed",1696000,1737000,1742000,1734000,1601000,1448000,1395000,1365000
"ID","notgrazed",2349000,2398000,2314000,2299000,2459000,2615000,2656000,2682000
"ID","total",4045000,4135000,4056000,4033000,4060000,4063000,4051000,4047000
"IL","grazed",658000,668000,699000,675000,519000,506000,498000,508000
"IL","notgrazed",2975000,2995000,3022000,3142000,3432000,3482000,3552000,3573000
"IL","total",3633000,3663000,3721000,3817000,3951000,3988000,4050000,4081000
"IN","grazed",454000,439000,437000,426000,295000,220000,191000,183000
"IN","notgrazed",3360000,3389000,3394000,3394000,3558000,3669000,3730000,3748000
"IN","total",3814000,3828000,3831000,3820000,3853000,3889000,3921000,3931000
"KS","grazed",866000,865000,948000,945000,930000,980000,1019000,1033000
"KS","notgrazed",758000,762000,774000,784000,824000,815000,814000,841000
"KS","total",1624000,1627000,1722000,1729000,1754000,1795000,1833000,1874000
"KY","grazed",1023000,1072000,1108000,923000,814000,734000,693000,690000
"KY","notgrazed",9535000,9533000,9570000,9800000,9832000,9915000,10018000,10283000
"KY","total",10558000,10605000,10678000,10723000,10646000,10649000,10711000,10973000
"LA","grazed",2751000,2178000,1964000,1216000,937000,854000,866000,882000
"LA","notgrazed",10437000,10806000,10940000,11725000,11978000,12028000,12105000,12190000
"LA","total",13188000,12984000,12904000,12941000,12915000,12882000,12971000,13072000
"MA","grazed",12000,9000,6000,8000,3000,2000,3000,4000
"MA","notgrazed",3038000,2959000,2851000,2676000,2608000,2567000,2559000,2542000
"MA","total",3050000,2968000,2857000,2684000,2611000,2569000,2562000,2546000
"MD","grazed",36000,32000,35000,27000,17000,10000,12000,10000
"MD","notgrazed",2388000,2362000,2331000,2302000,2322000,2302000,2296000,2297000
"MD","total",2424000,2394000,2366000,2329000,2339000,2312000,2308000,2307000
"ME","grazed",22000,6000,4000,3000,NA,7000,10000,8000
"ME","notgrazed",17578000,17598000,17613000,17619000,17576000,17532000,17526000,17445000
"ME","total",17600000,17604000,17617000,17622000,NA,17539000,17536000,17453000
"MI","grazed",256000,138000,105000,87000,68000,76000,80000,68000
"MI","notgrazed",15677000,15988000,16036000,16323000,16586000,16572000,16573000,16659000
"MI","total",15933000,16126000,16141000,16410000,16654000,16648000,16653000,16727000
"MN","grazed",1079000,1029000,1006000,963000,846000,887000,911000,930000
"MN","notgrazed",15164000,15113000,15187000,15301000,15440000,15449000,15461000,15446000
"MN","total",16243000,16142000,16193000,16264000,16286000,16336000,16372000,16376000
"MO","grazed",3069000,3265000,3356000,3463000,3368000,3448000,3491000,3593000
"MO","notgrazed",8445000,8606000,8758000,8965000,9123000,9030000,9074000,9133000
"MO","total",11514000,11871000,12114000,12428000,12491000,12478000,12565000,12726000
"MS","grazed",1863000,1564000,1434000,1152000,795000,604000,522000,473000
"MS","notgrazed",13535000,14220000,14557000,15106000,15985000,16356000,16670000,16963000
"MS","total",15398000,15784000,15991000,16258000,16780000,16960000,17192000,17436000
"MT","grazed",3600000,3561000,3575000,3598000,3410000,3172000,3104000,3099000
"MT","notgrazed",2418000,2461000,2445000,2452000,2625000,2851000,2828000,2802000
"MT","total",6018000,6022000,6020000,6050000,6035000,6023000,5932000,5901000
"NC","grazed",417000,374000,320000,270000,218000,206000,193000,185000
"NC","notgrazed",16742000,16443000,16131000,15912000,15618000,15503000,15492000,15499000
"NC","total",17159000,16817000,16451000,16182000,15836000,15709000,15685000,15684000
"ND","grazed",246000,252000,251000,245000,234000,238000,235000,229000
"ND","notgrazed",225000,218000,214000,219000,228000,224000,225000,228000
"ND","total",471000,470000,465000,464000,462000,462000,460000,457000
"NE","grazed",540000,560000,569000,568000,542000,535000,525000,524000
"NE","notgrazed",344000,338000,329000,341000,354000,347000,339000,333000
"NE","total",884000,898000,898000,909000,896000,882000,864000,857000
"NH","grazed",33000,25000,20000,15000,11000,6000,5000,5000
"NH","notgrazed",4083000,4011000,3939000,3893000,3840000,3807000,3779000,3777000
"NH","total",4116000,4036000,3959000,3908000,3851000,3813000,3784000,3782000
"NJ","grazed",2000,2000,3000,2000,1000,1000,1000,4000
"NJ","notgrazed",1913000,1868000,1842000,1743000,1672000,1645000,1630000,1623000
"NJ","total",1915000,1870000,1845000,1745000,1673000,1646000,1631000,1627000
"NM","grazed",4789000,4632000,4762000,4990000,4821000,4658000,4709000,4620000
"NM","notgrazed",759000,763000,781000,763000,789000,927000,895000,983000
"NM","total",5548000,5395000,5543000,5753000,5610000,5585000,5604000,5603000
"NV","grazed",291000,296000,297000,249000,253000,209000,176000,162000
"NV","notgrazed",90000,87000,87000,84000,87000,129000,162000,176000
"NV","total",381000,383000,384000,333000,340000,338000,338000,338000
"NY","grazed",247000,287000,266000,260000,177000,161000,127000,131000
"NY","notgrazed",16326000,16615000,16970000,17208000,17245000,17313000,17378000,17414000
"NY","total",16573000,16902000,17236000,17468000,17422000,17474000,17505000,17545000
"OH","grazed",556000,590000,519000,475000,348000,271000,284000,268000
"OH","notgrazed",6171000,6361000,6455000,6603000,6820000,6860000,6851000,6878000
"OH","total",6727000,6951000,6974000,7078000,7168000,7131000,7135000,7146000
"OK","grazed",5470000,5703000,5915000,6023000,5843000,5881000,5916000,5901000
"OK","notgrazed",1972000,1909000,1854000,1798000,2075000,2133000,2196000,2212000
"OK","total",7442000,7612000,7769000,7821000,7918000,8014000,8112000,8113000
"OR","grazed",3851000,3729000,3758000,3777000,3657000,3580000,3476000,3424000
"OR","notgrazed",8564000,8635000,8569000,8539000,8751000,8830000,8921000,8946000
"OR","total",12415000,12364000,12327000,12316000,12408000,12410000,12397000,12370000
"PA","grazed",284000,259000,261000,224000,146000,131000,128000,126000
"PA","notgrazed",15314000,15413000,15278000,15367000,15516000,15515000,15513000,15548000
"PA","total",15598000,15672000,15539000,15591000,15662000,15646000,15641000,15674000
"RI","grazed",1000,1000,1000,NA,NA,1000,0,1000
"RI","notgrazed",396000,391000,383000,383000,373000,365000,360000,359000
"RI","total",397000,392000,384000,NA,NA,366000,360000,360000
"SC","grazed",332000,298000,260000,215000,184000,153000,143000,140000
"SC","notgrazed",11028000,11063000,11051000,11052000,11046000,11010000,11021000,11060000
"SC","total",11360000,11361000,11311000,11267000,11230000,11163000,11164000,11200000
"SD","grazed",464000,466000,460000,451000,440000,424000,414000,414000
"SD","notgrazed",134000,134000,135000,134000,150000,163000,174000,166000
"SD","total",598000,6e+05,595000,585000,590000,587000,588000,580000
"TN","grazed",1027000,1025000,1012000,948000,777000,656000,624000,571000
"TN","notgrazed",10997000,11013000,11004000,10993000,11111000,11209000,11263000,11410000
"TN","total",12024000,12038000,12016000,11941000,11888000,11865000,11887000,11981000
"TX","grazed",7314000,7239000,7078000,6559000,6659000,7056000,7229000,7382000
"TX","notgrazed",6891000,7543000,7953000,9119000,9017000,8819000,8667000,8574000
"TX","total",14205000,14782000,15031000,15678000,15676000,15875000,15896000,15956000
"UT","grazed",1800000,1763000,1738000,1874000,1745000,1591000,1507000,1510000
"UT","notgrazed",486000,511000,502000,477000,576000,723000,818000,808000
"UT","total",2286000,2274000,2240000,2351000,2321000,2314000,2325000,2318000
"VA","grazed",856000,697000,652000,547000,429000,374000,382000,406000
"VA","notgrazed",12847000,13066000,13061000,13046000,13031000,12956000,12882000,12901000
"VA","total",13703000,13763000,13713000,13593000,13460000,13330000,13264000,13307000
"VT","grazed",87000,75000,70000,47000,26000,26000,26000,27000
"VT","notgrazed",4055000,4060000,4060000,4079000,4075000,4049000,4033000,4017000
"VT","total",4142000,4135000,4130000,4126000,4101000,4075000,4059000,4044000
"WA","grazed",3066000,3070000,3088000,3034000,2879000,2693000,2612000,2608000
"WA","notgrazed",9786000,9704000,9569000,9531000,9543000,9663000,9715000,9683000
"WA","total",12852000,12774000,12657000,12565000,12422000,12356000,12327000,12291000
"WI","grazed",963000,875000,802000,843000,720000,780000,810000,818000
"WI","notgrazed",13321000,13497000,13586000,13650000,13893000,13921000,13923000,13977000
"WI","total",14284000,14372000,14388000,14493000,14613000,14701000,14733000,14795000
"WV","grazed",789000,721000,711000,715000,630000,593000,552000,522000
"WV","notgrazed",9585000,9828000,9825000,9795000,9824000,9869000,9937000,10012000
"WV","total",10374000,10549000,10536000,10510000,10454000,10462000,10489000,10534000
"WY","grazed",969000,984000,988000,987000,945000,967000,959000,955000
"WY","notgrazed",118000,107000,105000,104000,145000,126000,128000,132000
"WY","total",1087000,1091000,1093000,1091000,1090000,1093000,1087000,1087000
